protocol,metric,n,mean,sd,ci95_low,ci95_high
meshtastic-like,unicast_pdr,20,0.85217455,0.057184916,0.825411493,0.878937607
meshtastic-like,destination_unicast_pdr,20,0.9554148,0.025310921,0.94356906,0.96726054
meshtastic-like,broadcast_coverage,20,0.9465605,0.022723494,0.9359257,0.9571953
meshtastic-like,avg_delay_s,20,0.64184995,0.097716736,0.596117635,0.687582265
meshtastic-like,mean_delivery_delay_s,20,0.5269784,0.1222169,0.469779788,0.584177012
meshtastic-like,unicast_delivery_delay_s,20,0.5985305,0.165348834,0.521145753,0.675915247
meshtastic-like,unicast_ack_delay_s,20,0.64184995,0.097716736,0.596117635,0.687582265
meshtastic-like,p95_unicast_delivery_delay_s,20,2.79949125,1.298144074,2.191948104,3.407034396
meshtastic-like,p95_unicast_ack_delay_s,20,1.11940215,0.772263568,0.757975829,1.480828471
meshtastic-like,tx_count,20,4793.4,348.95383498,4630.086454982,4956.713545018
meshtastic-like,data_tx,20,4726.45,344.282698252,4565.32258914,4887.57741086
meshtastic-like,control_tx,20,66.95,9.259276998,62.616574775,71.283425225
meshtastic-like,ack_tx,20,66.95,9.259276998,62.616574775,71.283425225
meshtastic-like,total_airtime_s,20,1182.9344256,86.116223212,1142.631255706,1223.237595494
meshtastic-like,channel_busy_time_s,20,172.1751115,13.076910601,166.054999284,178.295223716
meshtastic-like,channel_busy_ratio,20,0.14347925,0.010897495,0.138379124,0.148579376
meshtastic-like,tx_energy_j,20,468.4420325,34.102024399,452.481977219,484.402087781
meshtastic-like,rx_energy_j,20,1548.7111802,110.063217808,1497.200600649,1600.221759751
meshtastic-like,total_energy_j,20,2017.15321255,144.020169881,1949.750472876,2084.555952224
meshtastic-like,energy_per_delivery_j,20,0.7113186,0.094297126,0.667186694,0.755450506
meshtastic-like,airtime_per_delivery_s,20,0.41716165,0.056008509,0.390949162,0.443374138
meshtastic-like,rx_attempts,20,234842.3,17121.815472173,226829.135788568,242855.464211432
meshtastic-like,packet_reception_ratio,20,0.04827145,0.001996251,0.047337187,0.049205713
meshtastic-like,collision_fail,20,123501.1,8646.557391605,119454.433082283,127547.766917717
meshtastic-like,collision_rate,20,0.52610595,0.01057468,0.521156904,0.531054996
meshtastic-like,duplicate_rx,20,2836.7,337.369717544,2678.80792652,2994.59207348
meshtastic-like,suppressed_forwards,20,1854.75,197.4388313,1762.346844535,1947.153155465
meshtastic-like,route_cache_hits,20,0.0,0.0,0.0,0.0
meshtastic-like,route_cache_misses,20,0.0,0.0,0.0,0.0
meshtastic-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshtastic-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshtastic-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshtastic-like,control_overhead_ratio,20,0.01397075,0.001675758,0.01318648,0.01475502
meshtastic-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshtastic-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
meshcore-like,unicast_pdr,20,0.3887549,0.12977503,0.328019014,0.449490786
meshcore-like,destination_unicast_pdr,20,0.66130835,0.197553507,0.568851525,0.753765175
meshcore-like,broadcast_coverage,20,0.9604091,0.023808979,0.949266283,0.971551917
meshcore-like,avg_delay_s,20,0.5164518,0.034630086,0.500244607,0.532658993
meshcore-like,mean_delivery_delay_s,20,0.41109535,0.097114473,0.3656449,0.4565458
meshcore-like,unicast_delivery_delay_s,20,0.45054945,0.03378896,0.434735912,0.466362988
meshcore-like,unicast_ack_delay_s,20,0.5164518,0.034630086,0.500244607,0.532658993
meshcore-like,p95_unicast_delivery_delay_s,20,0.740352,0.0,0.740352,0.740352
meshcore-like,p95_unicast_ack_delay_s,20,0.6456723,0.241164764,0.532805013,0.758539587
meshcore-like,tx_count,20,3936.6,441.430616829,3730.006486225,4143.193513775
meshcore-like,data_tx,20,2969.0,398.174518733,2782.650730636,3155.349269364
meshcore-like,control_tx,20,967.6,203.011122329,872.588962028,1062.611037972
meshcore-like,ack_tx,20,41.55,13.678546399,35.1483168,47.9516832
meshcore-like,total_airtime_s,20,971.4898944,108.938013343,920.505920697,1022.473868103
meshcore-like,channel_busy_time_s,20,123.92670375,15.06905684,116.87424911,130.97915839
meshcore-like,channel_busy_ratio,20,0.1032721,0.012557575,0.097395042,0.109149158
meshcore-like,tx_energy_j,20,384.7099982,43.139453353,364.520344581,404.899651819
meshcore-like,rx_energy_j,20,1194.0447442,132.945690989,1131.824960625,1256.264527775
meshcore-like,total_energy_j,20,1578.7547423,175.960310218,1496.403728603,1661.105755997
meshcore-like,energy_per_delivery_j,20,0.5492954,0.039091887,0.531000044,0.567590756
meshcore-like,airtime_per_delivery_s,20,0.33796175,0.023536497,0.326946457,0.348977043
meshcore-like,rx_attempts,20,192881.15,21616.424309392,182764.468276812,202997.831723188
meshcore-like,packet_reception_ratio,20,0.050202,0.006530897,0.047145481,0.053258519
meshcore-like,collision_fail,20,82453.7,9527.837536177,77994.586018699,86912.813981301
meshcore-like,collision_rate,20,0.42747535,0.014356976,0.420756156,0.434194544
meshcore-like,duplicate_rx,20,1728.8,355.055162504,1562.63097862,1894.96902138
meshcore-like,suppressed_forwards,20,0.0,0.0,0.0,0.0
meshcore-like,route_cache_hits,20,28.4,10.137995234,23.655326708,33.144673292
meshcore-like,route_cache_misses,20,33.05,10.28783134,28.235202057,37.864797943
meshcore-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshcore-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshcore-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshcore-like,control_overhead_ratio,20,0.24652835,0.049274704,0.223467344,0.269589356
meshcore-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshcore-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
calm-mesh,unicast_pdr,20,0.73549525,0.131570095,0.673919258,0.797071242
calm-mesh,destination_unicast_pdr,20,0.7692511,0.125163141,0.71067362,0.82782858
calm-mesh,broadcast_coverage,20,0.9683869,0.020078752,0.958989863,0.977783937
calm-mesh,avg_delay_s,20,1.1175503,0.121332277,1.060765699,1.174334901
calm-mesh,mean_delivery_delay_s,20,0.4197913,0.09015888,0.37759613,0.46198647
calm-mesh,unicast_delivery_delay_s,20,0.92392615,0.159889688,0.849096332,0.998755968
calm-mesh,unicast_ack_delay_s,20,1.1175503,0.121332277,1.060765699,1.174334901
calm-mesh,p95_unicast_delivery_delay_s,20,2.6180841,0.556852928,2.357471903,2.878696297
calm-mesh,p95_unicast_ack_delay_s,20,2.740352,0.0,2.740352,2.740352
calm-mesh,tx_count,20,3402.1,365.77630495,3230.913387168,3573.286612832
calm-mesh,data_tx,20,2626.95,341.110026238,2467.307428285,2786.592571715
calm-mesh,control_tx,20,775.15,74.641793711,740.2169667,810.0830333
calm-mesh,ack_tx,20,48.1,9.861674887,43.484647125,52.715352875
calm-mesh,total_airtime_s,20,839.5838464,90.267739641,797.337729339,881.829963461
calm-mesh,channel_busy_time_s,20,122.1338053,14.559934505,115.319624509,128.947986091
calm-mesh,channel_busy_ratio,20,0.10177815,0.012133273,0.096099669,0.107456631
calm-mesh,tx_energy_j,20,332.4752032,35.746024889,315.745740848,349.204665552
calm-mesh,rx_energy_j,20,1052.00923155,119.085446808,996.276167377,1107.742295723
calm-mesh,total_energy_j,20,1384.48443485,154.717684939,1312.075161555,1456.893708145
calm-mesh,energy_per_delivery_j,20,0.4736284,0.021656206,0.4634931,0.4837637
calm-mesh,airtime_per_delivery_s,20,0.28737325,0.013862547,0.280885453,0.293861047
calm-mesh,rx_attempts,20,166693.1,17912.121267602,158310.065541672,175076.134458328
calm-mesh,packet_reception_ratio,20,0.06176855,0.006625825,0.058667604,0.064869496
calm-mesh,collision_fail,20,74103.4,10106.330769426,69373.54596308,78833.25403692
calm-mesh,collision_rate,20,0.44343575,0.018202239,0.434916938,0.451954562
calm-mesh,duplicate_rx,20,1447.55,339.124488088,1288.836678064,1606.263321936
calm-mesh,suppressed_forwards,20,787.3,171.26375473,707.14701667,867.45298333
calm-mesh,route_cache_hits,20,39.0,8.84367154,34.861081881,43.138918119
calm-mesh,route_cache_misses,20,22.45,7.549660153,18.916690893,25.983309107
calm-mesh,fallback_forward_count,20,50.5,41.963016298,30.860929543,70.139070457
calm-mesh,route_repair_count,20,7.7,1.894590638,6.813314478,8.586685522
calm-mesh,mean_path_confidence,20,0.94885585,0.005272926,0.946388073,0.951323627
calm-mesh,control_overhead_ratio,20,0.22949035,0.026866146,0.216916751,0.242063949
calm-mesh,policy_switch_count,20,0.0,0.0,0.0,0.0
calm-mesh,policy_update_count,20,0.0,0.0,0.0,0.0
calm-mesh,policy_reward_total,20,0.0,0.0,0.0,0.0
calm-mesh,active_profile_index,20,-1.0,0.0,-1.0,-1.0
smart-calm,unicast_pdr,20,0.93728635,0.041582597,0.917825319,0.956747381
smart-calm,destination_unicast_pdr,20,0.96690765,0.023201055,0.956049347,0.977765953
smart-calm,broadcast_coverage,20,0.9645095,0.02532602,0.952656694,0.976362306
smart-calm,avg_delay_s,20,4.12459215,1.617874141,3.367412446,4.881771854
