protocol,metric,n,mean,sd,ci95_low,ci95_high
meshtastic-like,unicast_pdr,20,0.8380953,0.044247893,0.817386887,0.858803713
meshtastic-like,destination_unicast_pdr,20,0.94911435,0.017720776,0.940820867,0.957407833
meshtastic-like,broadcast_coverage,20,0.0,0.0,0.0,0.0
meshtastic-like,avg_delay_s,20,0.66426385,0.070703773,0.631173846,0.697353854
meshtastic-like,mean_delivery_delay_s,20,0.60093295,0.140844573,0.535016418,0.666849482
meshtastic-like,unicast_delivery_delay_s,20,0.60093295,0.140844573,0.535016418,0.666849482
meshtastic-like,unicast_ack_delay_s,20,0.66426385,0.070703773,0.631173846,0.697353854
meshtastic-like,p95_unicast_delivery_delay_s,20,2.75459275,0.948872386,2.310511907,3.198673593
meshtastic-like,p95_unicast_ack_delay_s,20,1.7689344,0.704011906,1.439450472,2.098418328
meshtastic-like,tx_count,20,4667.85,452.9165457,4455.880967822,4879.819032178
meshtastic-like,data_tx,20,4538.0,440.085518005,4332.036004618,4743.963995382
meshtastic-like,control_tx,20,129.85,15.304883981,122.687176129,137.012823871
meshtastic-like,ack_tx,20,129.85,15.304883981,122.687176129,137.012823871
meshtastic-like,total_airtime_s,20,1151.9506944,111.772556814,1099.640128763,1204.261260037
meshtastic-like,channel_busy_time_s,20,182.434047,19.253952933,173.423023209,191.445070791
meshtastic-like,channel_busy_ratio,20,0.15202845,0.016045,0.144519245,0.159537655
meshtastic-like,tx_energy_j,20,456.1724751,44.261932437,435.457491136,476.887459064
meshtastic-like,rx_energy_j,20,1520.4308229,146.620025598,1451.81132728,1589.05031852
meshtastic-like,total_energy_j,20,1976.603298,190.824971815,1887.295488482,2065.911107518
meshtastic-like,energy_per_delivery_j,20,19.826834,0.994833804,19.361242799,20.292425201
meshtastic-like,airtime_per_delivery_s,20,11.5539746,0.573447638,11.285595929,11.822353271
meshtastic-like,rx_attempts,20,228722.2,22193.88625773,218335.260871842,239109.139128158
meshtastic-like,packet_reception_ratio,20,0.0605906,0.002578385,0.059383893,0.061797307
meshtastic-like,collision_fail,20,120275.5,11575.507480066,114858.057999228,125692.942000772
meshtastic-like,collision_rate,20,0.5259568,0.007034667,0.522664512,0.529249088
meshtastic-like,duplicate_rx,20,2850.3,445.600257488,2641.755056754,3058.844943246
meshtastic-like,suppressed_forwards,20,1814.15,231.007011741,1706.036633045,1922.263366955
meshtastic-like,route_cache_hits,20,0.0,0.0,0.0,0.0
meshtastic-like,route_cache_misses,20,0.0,0.0,0.0,0.0
meshtastic-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshtastic-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshtastic-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshtastic-like,control_overhead_ratio,20,0.027811,0.001783157,0.026976467,0.028645533
meshtastic-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshtastic-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
meshcore-like,unicast_pdr,20,0.60534725,0.107417962,0.555074674,0.655619826
meshcore-like,destination_unicast_pdr,20,0.81197965,0.134899825,0.748845314,0.875113986
meshcore-like,broadcast_coverage,20,0.0,0.0,0.0,0.0
meshcore-like,avg_delay_s,20,0.5123439,0.036268814,0.495369768,0.529318032
meshcore-like,mean_delivery_delay_s,20,0.37188745,0.018977042,0.363006023,0.380768877
meshcore-like,unicast_delivery_delay_s,20,0.37188745,0.018977042,0.363006023,0.380768877
meshcore-like,unicast_ack_delay_s,20,0.5123439,0.036268814,0.495369768,0.529318032
meshcore-like,p95_unicast_delivery_delay_s,20,0.740352,0.0,0.740352,0.740352
meshcore-like,p95_unicast_ack_delay_s,20,0.5922816,0.202556033,0.497483548,0.687079652
meshcore-like,tx_count,20,1449.7,186.320069829,1362.50052528,1536.89947472
meshcore-like,data_tx,20,106.55,20.917066817,96.760623897,116.339376103
meshcore-like,control_tx,20,1343.15,170.548735125,1263.3316523,1422.9683477
meshcore-like,ack_tx,20,98.95,19.924792807,89.625017091,108.274982909
meshcore-like,total_airtime_s,20,357.7627648,45.980812113,336.243329631,379.282199969
meshcore-like,channel_busy_time_s,20,83.04030905,11.277294277,77.762433521,88.318184579
meshcore-like,channel_busy_ratio,20,0.06920015,0.009397726,0.064801929,0.073598371
meshcore-like,tx_energy_j,20,141.67405495,18.208401587,133.152358627,150.195751273
meshcore-like,rx_energy_j,20,461.3297978,56.964316674,434.66998334,487.98961226
meshcore-like,total_energy_j,20,603.00385255,75.131178116,567.841782931,638.165922169
meshcore-like,energy_per_delivery_j,20,8.5378199,1.180551259,7.985311253,9.090328547
meshcore-like,airtime_per_delivery_s,20,5.06447205,0.712428399,4.731049128,5.397894972
meshcore-like,rx_attempts,20,71035.3,9129.683421617,66762.525738725,75308.074261275
meshcore-like,packet_reception_ratio,20,0.1613302,0.01613204,0.153780259,0.168880141
meshcore-like,collision_fail,20,27487.55,2964.872207684,26099.963040855,28875.136959145
meshcore-like,collision_rate,20,0.3883117,0.018894588,0.379468862,0.397154538
meshcore-like,duplicate_rx,20,522.2,114.057972333,468.819839268,575.580160732
meshcore-like,suppressed_forwards,20,0.0,0.0,0.0,0.0
