protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
meshtastic-like,1,1200.0,117,55,62,0.963636,0.94503,0.429511,53,2871,4609,4609,0,0,1137.427456,0.388997,0.647598,8082,217759,118609,2615,1734,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,1,1200.0,117,55,62,0.763636,0.939434,0.470065,42,2854,4113,2960,1153,42,1015.022592,0.350491,0.508162,10026,191511,90211,1865,0,1084,27,28,27,0,0,0.0,0.280331,0,0,0.0,-1
calm-mesh,1,1200.0,117,55,62,0.8,0.928901,0.910607,44,2822,3286,2542,744,44,810.932224,0.282949,0.468208,9469,151545,71565,1364,768,686,14,35,20,0,6,0.946344,0.226415,0,0,0.0,-1
smart-calm,1,1200.0,117,55,62,0.945455,0.957867,7.348089,52,2910,3474,2844,630,55,857.327616,0.289442,0.548009,10720,159506,76510,1439,820,564,11,38,17,223,5,0.94777,0.181347,8,94,88.514052,1
meshtastic-like,2,1200.0,125,69,56,0.971014,0.978134,0.450524,67,2684,5082,5082,0,0,1254.156288,0.455891,0.589125,8587,240431,127398,2638,1827,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,2,1200.0,125,69,56,0.463768,0.959913,0.433256,32,2634,3495,2717,778,32,862.51008,0.323522,0.481715,8452,162803,78071,1949,0,731,15,23,46,0,0,0.0,0.222604,0,0,0.0,-1
calm-mesh,2,1200.0,125,69,56,0.333333,0.962464,0.834827,23,2641,2955,2389,566,23,729.24672,0.273741,0.444037,7036,137759,66028,1291,675,532,11,19,50,0,3,0.942265,0.19154,0,0,0.0,-1
smart-calm,2,1200.0,125,69,56,0.942029,0.965015,9.742256,65,2648,3626,2858,768,71,894.838784,0.329834,0.733569,12378,165296,79547,1849,872,683,14,43,26,440,6,0.934122,0.211804,1,106,99.972546,0
meshtastic-like,3,1200.0,125,79,46,0.974684,0.913043,0.622233,77,2058,4831,4831,0,0,1192.213504,0.558414,0.393133,8792,227927,121684,2961,1933,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,3,1200.0,125,79,46,0.35443,0.977817,0.405431,28,2204,2843,2280,563,28,701.606912,0.31434,0.275182,6677,132630,58576,1198,0,524,11,21,58,0,0,0.0,0.19803,0,0,0.0,-1
calm-mesh,3,1200.0,125,79,46,0.607595,0.999113,0.94763,48,2252,2910,2113,797,48,718.14144,0.312235,0.390864,9513,133077,63366,1217,628,736,13,41,38,113,9,0.95306,0.273883,0,0,0.0,-1
smart-calm,3,1200.0,125,79,46,0.911392,0.998669,18.640005,72,2251,4179,3409,770,76,1031.310336,0.443956,0.935665,12363,192408,92212,1775,1051,681,13,35,44,1403,9,0.939057,0.184255,5,118,63.70227,2
meshtastic-like,4,1200.0,123,53,70,0.962264,0.913703,0.966495,51,3134,4525,4525,0,0,1116.6976,0.350611,0.736501,9264,212412,121347,3636,2197,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,4,1200.0,123,53,70,0.603774,0.965598,0.72351,32,3312,4308,3416,892,44,1063.145472,0.317926,0.363595,10456,200538,89237,1914,0,826,22,21,32,0,0,0.0,0.207057,0,0,0.0,-1
calm-mesh,4,1200.0,123,53,70,0.641509,0.962099,1.149699,34,3300,3874,2968,906,34,956.041216,0.286755,0.477204,10024,179704,88427,1939,1002,857,15,27,26,61,10,0.954151,0.233867,0,0,0.0,-1
smart-calm,4,1200.0,123,53,70,0.886792,0.955977,12.597752,47,3279,3906,3212,694,51,963.938304,0.289819,0.666372,11383,179962,87087,1839,1078,631,12,34,19,331,5,0.945459,0.177675,4,93,58.309983,1
meshtastic-like,5,1200.0,105,54,51,0.944444,0.980392,0.693271,51,2450,4197,4197,0,0,1035.752448,0.414135,0.39578,7568,198085,110000,2548,1741,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,5,1200.0,105,54,51,0.407407,1.0,0.471133,22,2499,3255,2576,679,22,803.28192,0.318636,0.287314,6876,152619,69624,1431,0,643,14,16,38,0,0,0.0,0.208602,0,0,0.0,-1
calm-mesh,5,1200.0,105,54,51,0.611111,0.989596,0.852065,33,2473,3016,2283,733,33,744.300544,0.297007,0.311174,8296,139488,64454,1276,653,687,13,28,26,57,8,0.948816,0.243037,0,0,0.0,-1
smart-calm,5,1200.0,105,54,51,0.925926,0.988796,8.608989,50,2471,3415,2545,870,57,842.76736,0.334299,0.516631,10695,156640,79788,1682,827,799,14,30,24,340,11,0.946502,0.254758,9,94,72.262345,0
meshtastic-like,6,1200.0,107,62,45,0.951613,0.931973,0.532811,59,2055,4041,4041,0,0,997.254144,0.471738,0.683362,7593,190416,104518,2682,1652,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,6,1200.0,107,62,45,0.758065,0.886621,0.441061,47,1955,3093,2057,1036,50,763.302912,0.38127,0.37241,9202,142355,63860,1199,0,965,21,34,28,0,0,0.0,0.33495,0,0,0.0,-1
calm-mesh,6,1200.0,107,62,45,0.919355,0.977778,0.961482,57,2156,2739,1966,773,57,675.941376,0.305441,0.584239,10369,123793,61835,1575,763,702,14,45,17,70,9,0.954053,0.28222,0,0,0.0,-1
smart-calm,6,1200.0,107,62,45,0.967742,0.931519,1.789474,60,2054,2534,1868,666,65,625.350656,0.295814,0.450696,10406,113760,52372,1018,569,589,12,48,14,0,5,0.959037,0.262826,9,99,98.548161,0
meshtastic-like,7,1200.0,128,68,60,0.970588,0.933333,0.420956,66,2744,4925,4925,0,0,1215.4112,0.432531,0.451084,9076,232249,124829,3102,1972,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,7,1200.0,128,68,60,0.691176,0.921769,0.425309,47,2710,3688,2830,858,57,910.139392,0.330119,0.367801,10810,169902,76903,1576,0,784,17,37,31,0,0,0.0,0.232646,0,0,0.0,-1
calm-mesh,7,1200.0,128,68,60,0.882353,0.94966,0.761929,60,2792,3365,2559,806,62,830.42816,0.291174,0.409724,11821,153064,74603,1612,782,729,15,51,17,34,7,0.933202,0.239525,0,0,0.0,-1
smart-calm,7,1200.0,128,68,60,0.985294,0.970068,2.667451,67,2852,3255,2593,662,69,803.28192,0.275191,0.443609,11962,147533,72345,1497,804,583,10,56,12,40,4,0.950615,0.203379,5,108,113.668144,0
meshtastic-like,8,1200.0,125,63,62,0.952381,0.967413,0.514969,60,2939,4917,4917,0,0,1213.436928,0.404614,0.438324,8909,232024,127890,3030,1900,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,8,1200.0,125,63,62,0.603175,0.967742,0.480579,38,2940,4032,3044,988,38,995.033088,0.334128,0.275916,9075,188493,83110,1403,0,929,21,24,39,0,0,0.0,0.24504,0,0,0.0,-1
calm-mesh,8,1200.0,125,63,62,0.920635,0.967742,0.823594,58,2940,3541,2732,809,58,873.862144,0.291482,0.277898,11284,162225,72365,1155,698,736,15,47,16,43,8,0.948954,0.228467,0,0,0.0,-1
smart-calm,8,1200.0,125,63,62,1.0,0.983871,6.617804,63,2989,3532,3018,514,63,871.641088,0.285597,0.445464,11297,161771,73055,1250,792,442,9,48,15,301,2,0.948685,0.145527,3,103,116.777021,0
meshtastic-like,9,1200.0,127,58,69,0.948276,0.968353,0.604735,55,3274,4843,4843,0,0,1195.174912,0.359019,0.563433,9349,227958,125312,3381,2147,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,9,1200.0,127,58,69,0.672414,0.977521,0.43029,39,3305,4407,3415,992,40,1087.577088,0.325232,0.463725,10444,205499,92732,2035,0,932,20,31,27,0,0,0.0,0.225096,0,0,0.0,-1
calm-mesh,9,1200.0,127,58,69,0.913793,0.976634,1.03361,53,3302,3894,3087,807,53,960.976896,0.286431,0.41525,11435,179371,84049,1576,941,739,15,38,20,170,12,0.953489,0.207242,0,0,0.0,-1
